wavelength,mean_flux,mean_err
1129.5,3.2914757627059443,1.6125716084876283
1131.0,3.5117701703806232,1.551849992457577
1132.5,1.9716124681433935,1.441097784154865
1134.0,2.817141480724818,1.3765389409854096
1135.5,3.313332503747942,1.3468325051980432
1137.0,3.176517230909578,1.3764588535792635
1138.5,2.4640758089780883,1.2780288322372557
1140.0,1.2044281737725877,1.151741085342841
1141.5,3.369864248705033,1.3789645372020007
1143.0,2.0499863033259556,1.369257742542415
1144.5,4.579153817617123,1.5824961916421856
1146.0,3.4788804552422334,1.500588300628526
1147.5,2.7060457016104595,1.5069311168042825
1149.0,4.235744745532272,1.316715401832724
1150.5,2.461555755425209,1.3460618753137392
1152.0,2.728675812908612,1.1283445581253921
1153.5,3.3789249486865796,1.2242026182440595
1155.0,4.975879782403763,3.978692833337362
1156.5,2.9071000381434806,4.002776444744089
1158.0,3.062153849632972,2.3177421580851827
1159.5,4.143234963190599,3.546401958985895
1161.0,4.546152219847537,4.262260076561413
1162.5,5.028050327521724,3.526235539176144
1164.0,6.52075141022543,3.472237298728611
1165.5,6.689472871700035,3.8294533275633693
1167.0,3.528611595607311,3.9274864547029966
1168.5,5.725982792558251,3.794881343424186
1170.0,5.162386462527529,3.860571417284234
1171.5,3.610827467671635,2.1679274977759975
1173.0,4.969877906038391,3.335100471913169
1174.5,4.6861086119209805,2.9690143021648474
1176.0,3.964647526250306,2.714904771798831
1177.5,5.032380926199943,2.5756246289773754
1179.0,2.2805644334235406,2.107360135677307
1180.5,4.922277722699432,2.799458141000351
1182.0,5.460067600288292,2.5219756914788114
1183.5,3.1758009481940483,2.276506629926843
1185.0,1.0365114150012542,1.5087337992007284
1186.5,3.4939000293709204,1.9894339498683002
1188.0,5.117648331259577,2.4619238960733245
1189.5,4.2024017818704165,2.821414479791932
1191.0,5.976777649875765,2.043057461061835
1192.5,2.00778531636797,1.4503035025659796
1194.0,2.572603278798662,1.3173384016597705
1195.5,2.8891936783980103,2.0213075661955817
1197.0,2.761614995248378,2.0275668293820135
1198.5,2.2766495146610843,2.046055094730646
1200.0,3.1749970250993336,2.157495767127303
1201.5,2.8600432779346443,1.748306587342169
1203.0,4.193045965203819,1.7122433629878089
1204.5,3.814369812037784,1.9669586774950711
1206.0,5.133636318440198,2.0552765393805728
1207.5,2.552893153301356,1.9262311028479564
1209.0,3.6101010323417566,2.3576308819084084
1210.5,3.707720964997631,2.002208231781494
1212.0,3.2917007200175608,1.4985406559777712
1213.5,6.9083911393925135,2.343345981355741
1215.0,7.623846083917835,2.0658075770771056
1216.5,11.580042824247045,1.8500905563527272
1218.0,6.309569962773049,1.756452129211565
1219.5,5.842992584860863,2.0562144063489085
1221.0,5.54373843409727,1.7825415019361295
1222.5,4.287564808689658,1.7000702558443124
1224.0,2.6123171841027726,1.2503819647293775
1225.5,4.510559433073509,2.0655904606517543
1227.0,2.454517851300179,1.997130067318489
1228.5,3.466462748173588,1.4186749732207449
1230.0,3.6882017114968595,1.5149180882454678
1231.5,5.498659470803157,2.104032762318156
1233.0,4.900944385970118,2.100916734196058
1234.5,5.471391304763854,2.1794656178880834
1236.0,4.25836983639461,1.9773811832530985
1237.5,4.331394922527785,1.7381310312519058
1239.0,2.0897486415204027,1.270934723792625
1240.5,3.1275163953873184,1.3684290217904866
1242.0,2.4698737419653476,1.5240799945455732
1243.5,3.571311517420365,1.7039826715278117
1245.0,4.363765020149221,1.5103394792338982
1246.5,4.053227109728161,1.4387636452837276
1248.0,2.8251127920023853,1.2957120234878206
1249.5,2.388596790606808,1.5045237548405512
1251.0,3.566675965941375,1.5276250390081645
1252.5,2.0042282979890267,1.2690306578531123
1254.0,2.271005014369202,1.2973100893710194
1255.5,2.0003711451188915,1.3485307444217127
1257.0,3.089269320549451,1.7050189206020727
1258.5,2.7546360964652044,1.3962510683585292
1260.0,3.913997582929328,1.3439122171109092
1261.5,3.342912217989122,1.516591326252235
1263.0,4.303800924857063,1.5227006448444478
1264.5,2.276157540990953,1.0825442778082293
1266.0,3.370238947589427,1.4944036144557313
1267.5,2.899993720482318,1.308491493752268
1269.0,1.6007205745398516,0.8814849725625036
1270.5,3.3934512311876874,1.2730192052012792
1272.0,1.9928984182202778,0.9571481423157222
1273.5,3.4451094980309014,1.3822790795087807
1275.0,3.331969278528854,1.2958469763228986
1276.5,2.415043767908016,1.2562391212758874
1278.0,3.3015665666224288,1.3571275739270143
1279.5,3.25839220671667,1.108160573452848
1281.0,2.6307248963803094,1.3044503293788279
1282.5,3.4755478916253075,1.252459132938878
1284.0,3.504645277313797,1.236279024224382
1285.5,3.1407985462427925,1.3104118261611268
1287.0,2.8729852929475674,1.1101202064805136
1288.5,2.3082446821187883,0.9885455177822938
1290.0,2.996963604831372,1.1616188013317634
1291.5,1.7976732167667233,1.232080346539754
1293.0,2.0163331227745735,1.1542683754740017
1294.5,3.4937679922092384,1.2543825757666518
1296.0,1.4476110173720376,0.9929879803129128
1297.5,2.5764656769703373,0.9237298004539476
1299.0,2.8737084315049097,1.4431263788614288
1300.5,1.8656688492676512,1.0951931678204347
1302.0,3.212442325992563,1.127822589620897
1303.5,2.9517471954233594,1.124789020242364
1305.0,1.9707148124064564,1.1375896319162926
1306.5,1.6800397376902159,1.0226417236006817
1308.0,2.059166856513623,1.0444257849759466
1309.5,2.5030572772220077,1.1358659030215568
